timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz,target
490374,0.1194,0.0,0.0,0.0,0.2128,-2.36629651737733,-1.295934845436928,1.0097027233438982,0.20618660887550747,-0.40590920098955535,-1.189098598648156,HELLO
490394,0.1244,0.0,0.0,0.0,0.2319,-2.645935065241413,-0.873406936643266,1.2442014128457324,0.35856134984751037,-0.41296145465924144,0.020660289188204773,HELLO
490414,0.107,0.0,0.0,0.0,0.2349,-2.645935065241413,-1.871255674784258,0.5442703582009,-0.067425426000307,-0.5873871954228097,0.7140707392072472,HELLO
490434,0.1213,0.0,0.0,0.0,0.2325,-2.3282008311465714,-1.0910728290521219,0.8615565918005097,-0.2545813578463543,0.020987221148774066,0.33983352533581895,HELLO
490454,0.1174,0.0,0.0,0.0,0.2104,-2.0477517367669407,-1.1371667827387038,0.793029103145413,0.04254938704905197,0.5964511205951559,0.7078059752745977,HELLO
490474,0.1163,0.0,0.0,0.0,0.2613,-1.7863504855026897,-1.2617911760394602,0.9015639695702483,0.0253244163304774,0.780750016496285,1.404183945051211,HELLO
490494,0.1197,0.0,0.0,0.0,0.2691,-1.2619268899430915,-1.3462967577981928,0.960188641945707,-0.015088014970792952,0.555077899066331,1.62839654895656,HELLO
490514,0.124,0.0,0.0,0.0,0.2882,-1.1281867148776608,-1.1960646124493348,0.9657342190623043,0.010086942233277297,0.3181221757648795,1.689725290613023,HELLO
490534,0.1186,0.0,0.0,0.0,0.2583,-1.0475373365806284,-1.046686058835414,0.9411752346888014,0.07766182735999162,0.46951055454080687,1.6976386766332117,HELLO
490554,0.1209,0.0,0.0,0.0,0.2463,-0.869217103160054,-1.1422883331483233,1.002572695622559,0.09588054638925307,0.8155411346000693,1.6976386766332117,HELLO
490574,0.1225,0.0,0.0,0.0,0.2206,-0.768709335232094,-1.2165508140878158,0.9807864998073544,0.07799307679688725,1.0995118823660945,1.6976386766332117,HELLO
490594,0.1213,0.0,0.0,0.0,0.2643,-0.6742806661707443,-0.9749843531007324,0.980390387156169,0.0945555486416702,1.3270646007746312,1.6976386766332117,HELLO
490614,0.1217,0.0,0.0,0.0,0.2212,-0.4874496943369155,-0.7999980474387102,0.9887087528310651,0.15948043827321956,1.5391023611098587,1.6976386766332117,HELLO
490634,0.1163,0.0,0.0,0.0,0.2828,-0.3913999322444695,-0.6907383053668144,0.9253307286413801,0.25753027159433445,1.6848489369500372,1.6976386766332117,HELLO
490654,0.1256,0.0,0.0,0.0,0.2595,-0.1603941753132712,-0.5072160823554251,0.8742321966384471,0.28833646922563066,1.800976047377534,1.6976386766332117,HELLO
490674,0.1217,0.0,0.0,0.0,0.2176,0.10181762246652828,-0.2707711717779622,0.7229171638855744,0.24030530087576027,2.0351108692111115,1.6976386766332117,HELLO
490694,0.1205,0.0,0.0,0.0,0.2661,0.4843955778052148,0.02798593544987991,0.6254734516939335,0.21910533691443823,2.18743954847633,1.6976386766332117,HELLO
490714,0.1228,0.0,0.0,0.0,0.2254,0.9832869581250488,0.35405797819569595,0.5569459630388369,0.35061136336201465,2.111275208843721,1.6976386766332117,HELLO
490734,0.1228,0.0,0.0,0.0,0.2469,1.4067975124989132,0.7552460936159402,0.3695846790280809,0.5493610254994098,2.0073720047770127,1.6976386766332117,HELLO
490754,0.1252,0.0,0.0,0.0,0.2451,1.4067975124989132,0.642571984604297,0.26817984032458525,0.3873800508574328,1.7365654638610684,1.6976386766332117,HELLO
490774,0.1209,0.0,0.0,0.0,0.1972,1.4067975124989132,0.9268180323382151,0.08557190812805554,0.14589921136049758,0.7487797998603747,1.6976386766332117,HELLO
490794,0.1155,0.0,0.0,0.0,0.1906,1.4067975124989132,1.7095616532751607,0.11686480757171253,0.2840302265459872,-0.435058516157591,1.5410195783169753,HELLO
490814,0.1174,0.0,0.0,0.0,0.1978,1.4067975124989132,1.363857000625801,0.13627432747980336,0.3976487834011982,-0.9738506965216057,0.9303699570924073,HELLO
490834,0.1104,0.0,0.0,0.0,0.2284,1.4067975124989132,0.9660832521453033,0.1655866636675327,0.1581554405256367,-0.703044155605661,0.527446718897795,HELLO
490854,0.112,0.0,0.0,0.0,0.1805,1.4067975124989132,0.7612212357604973,0.25550423548664813,-0.18005023454483093,-0.21408790117409465,0.20299789207005461,HELLO
490874,0.1081,0.0,0.0,0.0,0.2313,1.4067975124989132,0.40954144096658046,0.3042260915824685,-0.3079125171865554,0.2508906907805392,-0.2694971982187175,HELLO
490894,0.1097,0.0,0.0,0.0,0.187,1.4067975124989132,0.05188650402810747,0.4622750394054949,-0.3132125081768859,0.5508465468645193,-0.664836774810649,HELLO
490914,0.1097,0.0,0.0,0.0,0.2248,1.4067975124989132,0.039936219738993216,0.4602944761495675,-0.27578132180767634,0.2828609074164494,-0.9622481994027442,HELLO
490934,0.1093,0.0,0.0,0.0,0.1912,1.4067975124989132,0.0322538941245629,0.4654439406149793,-0.260543847710476,-0.2531103714796907,-1.2843889553079293,HELLO
490954,0.1085,0.0,0.0,0.0,0.2032,1.4067975124989132,-0.10432078346530778,0.4373199423808066,-0.35759993272090407,-0.6616709340768363,-1.5996054984454493,HELLO
490974,0.1042,0.0,0.0,0.0,0.19,1.4067975124989132,-0.012132876092144885,0.4167220845191591,-0.44869352786721034,-0.9089699627604939,-1.5996054984454493,HELLO
490994,0.1046,0.0,0.0,0.0,0.2164,1.4067975124989132,0.14663518660608016,0.4012736911229234,-0.4785059771878197,-1.0020597112003498,-1.5996054984454493,HELLO
491014,0.1062,0.0,0.0,0.0,0.1733,1.4067975124989132,0.09712686597975186,0.4202870983798289,-0.50136218833362,-1.030268725879094,-1.5996054984454493,HELLO
491034,0.1077,0.0,0.0,0.0,0.2098,1.4067975124989132,0.15175673701569975,0.531594753362963,-0.5066621793239507,-1.2112765700677026,-1.5996054984454493,HELLO
491054,0.1128,0.0,0.0,0.0,0.2224,1.132427516985893,0.051032912293169926,0.5941805522502766,-0.45697476378960183,-1.4947771675890822,-1.5996054984454493,HELLO
491074,0.1039,0.0,0.0,0.0,0.1631,0.6525839797814382,0.0322538941245629,0.6528052246257352,-0.4308060582748447,-1.827643540798264,-1.5996054984454493,HELLO
491094,0.1015,0.0,0.0,0.0,0.2278,0.11235472716865287,0.022864385040259384,0.7165793614666057,-0.36919366301225215,-1.9846737225099402,-1.5996054984454493,HELLO
