Timestamp,Raw Voltage (V),Filtered Voltage (V),Angle (degrees),Status
2025-10-20 15:14:48.378,0.525,2.078,57.1,Half bent
2025-10-20 15:14:48.429,0.688,2.114,55.7,Half bent
2025-10-20 15:14:48.478,0.758,2.088,56.7,Half bent
2025-10-20 15:14:48.529,0.0,1.985,60.5,Half bent
2025-10-20 15:14:48.579,0.96,2.071,57.3,Half bent
2025-10-20 15:14:48.628,0.181,2.002,59.9,Half bent
2025-10-20 15:14:48.678,0.713,2.002,59.9,Half bent
2025-10-20 15:14:48.729,0.237,1.903,62.9,Half bent
2025-10-20 15:14:48.778,0.333,1.969,60.9,Half bent
2025-10-20 15:14:48.829,0.0,1.777,66.7,Half bent
2025-10-20 15:14:48.878,0.201,1.777,66.7,Half bent
2025-10-20 15:14:48.928,0.245,1.688,69.4,Half bent
2025-10-20 15:14:48.978,0.0,1.64,70.8,Half bent
2025-10-20 15:14:49.028,0.481,1.67,69.9,Half bent
2025-10-20 15:14:49.078,0.594,1.789,66.3,Half bent
2025-10-20 15:14:49.128,0.014,1.751,67.5,Half bent
2025-10-20 15:14:49.178,0.0,1.702,68.9,Half bent
2025-10-20 15:14:49.228,0.998,1.902,62.9,Half bent
2025-10-20 15:14:49.279,0.878,1.981,60.6,Half bent
2025-10-20 15:14:49.328,0.928,2.048,58.2,Half bent
2025-10-20 15:14:49.378,3.3,2.409,44.7,Slight bend
2025-10-20 15:14:49.428,0.772,2.563,38.9,Slight bend
2025-10-20 15:14:49.479,0.377,2.439,43.5,Slight bend
2025-10-20 15:14:49.528,0.283,2.32,48.0,Half bent
2025-10-20 15:14:49.578,0.117,2.157,54.1,Half bent
2025-10-20 15:14:49.628,0.0,1.794,66.2,Half bent
2025-10-20 15:14:49.678,0.031,1.646,70.6,Half bent
2025-10-20 15:14:49.728,0.031,1.577,72.7,Half bent
2025-10-20 15:14:49.778,0.093,1.539,73.8,Half bent
2025-10-20 15:14:49.828,0.077,1.539,73.8,Half bent
2025-10-20 15:14:49.878,0.053,1.539,73.8,Half bent
2025-10-20 15:14:49.928,0.0,1.539,73.8,Half bent
2025-10-20 15:14:49.978,0.0,1.539,73.8,Half bent
2025-10-20 15:14:50.028,0.365,1.583,72.5,Half bent
2025-10-20 15:14:50.078,0.353,1.639,70.8,Half bent
2025-10-20 15:14:50.128,0.401,1.708,68.8,Half bent
2025-10-20 15:14:50.178,0.197,1.748,67.6,Half bent
2025-10-20 15:14:50.228,0.245,1.797,66.1,Half bent
